Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Tomoyuki Sugano,34,YOM,Fgn,,15,3,.833,1.67,1.78,24,,,3,1,0,156.2,132,31,29,6,16,0,111,4,0,4,608,0.945,7.6,0.3,0.9,6.4,6.94,player.fcgi?id=sugano001tom
2,Katsuki Azuma*,28,YKO,Fgn,,13,4,.765,2.16,2.21,26,,,2,2,0,183.0,166,45,44,11,27,2,140,6,0,0,731,1.055,8.2,0.5,1.3,6.9,5.19,player.fcgi?id=azuma-000kat
3,Hiroto Saiki,25,HAN,Fgn,,13,3,.813,1.83,1.88,25,,,4,3,0,167.2,140,35,34,4,38,2,137,0,0,4,671,1.062,7.5,0.2,2.0,7.4,3.61,player.fcgi?id=saiki-000hir
4,Hiroto Takahashi,21,CNI,Fgn,,12,4,.750,1.38,1.69,21,,,1,1,0,143.2,107,27,22,1,34,2,130,4,0,5,569,0.981,6.7,0.1,2.1,8.1,3.82,player.fcgi?id=takaha004hir
5,Shosei Togo,24,YOM,Fgn,,12,8,.600,1.95,1.95,26,,,4,3,0,180.0,129,39,39,12,44,3,156,7,0,3,703,0.961,6.5,0.6,2.2,7.8,3.55,player.fcgi?id=togo--000sho
6,Koutaro Ohtake*,29,HAN,Fgn,,11,7,.611,2.80,2.92,24,,,0,0,0,144.2,134,47,45,8,33,1,91,1,0,1,587,1.154,8.3,0.5,2.1,5.7,2.76,player.fcgi?id=otake-000kot
7,Sotaro Shimauchi,27,HIR,Fgn,,11,6,.647,2.77,3.25,58,,,0,0,0,55.1,43,20,17,2,27,2,53,2,0,4,238,1.265,7.0,0.3,4.4,8.6,1.96,player.fcgi?id=shimau000sot
8,Hiroki Tokoda*,29,HIR,Fgn,,11,9,.550,2.48,2.80,26,,,0,0,0,167.0,170,52,46,9,48,4,95,4,0,0,693,1.305,9.2,0.5,2.6,5.1,1.98,player.fcgi?id=tokoda000hir
9,Masato Morishita,26,HIR,Fgn,,10,10,.500,2.55,2.73,23,,,2,1,0,151.2,137,46,43,6,29,3,98,7,0,2,612,1.095,8.1,0.4,1.7,5.8,3.38,player.fcgi?id=morish000mas
10,Iori Yamasaki,25,YOM,Fgn,,10,6,.625,2.81,2.93,24,,,1,1,0,147.1,140,48,46,8,42,1,103,10,0,2,621,1.235,8.6,0.5,2.6,6.3,2.45,player.fcgi?id=yamasa000ior
11,Hiroki Ohnishi,26,YKU,Fgn,,9,1,.900,1.34,1.79,60,,,0,0,1,60.1,53,12,9,3,12,3,31,2,0,2,235,1.077,7.9,0.4,1.8,4.6,2.58,player.fcgi?id=ohnish002hir
12,Kojiro Yoshimura,26,YKU,Fgn,,9,8,.529,3.19,3.58,23,,,1,1,0,138.1,144,55,49,8,39,3,114,2,0,0,584,1.323,9.4,0.5,2.5,7.4,2.92,player.fcgi?id=yoshim000koj
13,Jeremy Beasley,28,HAN,Fgn,,8,3,.727,2.47,2.70,14,,,1,0,0,76.2,53,23,21,6,24,0,75,5,0,4,305,1.004,6.2,0.7,2.8,8.8,3.13,player.fcgi?id=beasle001jer
14,Haruto Inoue*,23,YOM,Fgn,,8,5,.615,2.76,2.94,25,,,0,0,0,101.0,87,33,31,5,27,1,99,3,0,3,413,1.129,7.8,0.4,2.4,8.8,3.67,player.fcgi?id=inoue-000har
15,Andre Jackson,28,YKO,Fgn,,8,7,.533,2.90,3.34,25,,,0,0,0,143.0,109,53,46,8,51,3,121,6,0,9,587,1.119,6.9,0.5,3.2,7.6,2.37,player.fcgi?id=jackso007and
16,Keiji Takahashi*,27,YKU,Fgn,,8,9,.471,3.58,4.28,21,,,0,0,0,115.2,116,55,46,12,38,1,106,8,0,1,504,1.331,9.0,0.9,3.0,8.2,2.79,player.fcgi?id=takaha000kei
17,Aren Kuri,32,HIR,Fgn,,7,10,.412,3.21,3.35,23,,,1,1,0,131.2,115,49,47,12,29,2,95,4,0,1,529,1.094,7.9,0.8,2.0,6.5,3.28,player.fcgi?id=kuri--000are
18,Shoki Murakami,26,HAN,Fgn,,7,11,.389,2.58,3.34,25,,,2,0,0,153.2,143,57,44,7,33,2,130,2,0,5,635,1.145,8.4,0.4,1.9,7.6,3.94,player.fcgi?id=muraka000sho
19,Makoto Aduwa,25,HIR,Fgn,,6,4,.600,3.13,3.64,20,,,1,1,0,106.1,102,43,37,9,29,2,61,5,0,0,452,1.232,8.6,0.8,2.5,5.2,2.10,player.fcgi?id=aduwa-000mak
20,Foster Griffin*,28,YOM,Fgn,,6,4,.600,3.01,3.09,20,,,0,0,0,116.2,99,40,39,9,23,0,126,4,1,0,468,1.046,7.6,0.7,1.8,9.7,5.48,player.fcgi?id=griffi000fos
21,Anthony Kay*,29,YKO,Fgn,,6,9,.400,3.42,4.02,24,,,1,0,0,136.2,130,61,52,6,53,5,119,7,1,4,590,1.339,8.6,0.4,3.5,7.8,2.25,player.fcgi?id=kay---000ant
22,Reiji Kozawa,26,YKU,Fgn,,6,6,.500,2.55,2.55,40,,,0,0,11,77.2,64,22,22,6,23,2,66,1,0,4,309,1.120,7.4,0.7,2.7,7.6,2.87,player.fcgi?id=kozawa000rei
23,Yuki Nishi,33,HAN,Fgn,,6,7,.462,2.24,2.82,21,,,1,1,0,124.2,113,39,31,5,23,2,71,5,0,0,511,1.091,8.2,0.4,1.7,5.1,3.09,player.fcgi?id=nishi-001yuk
24,Shinichi Ohnuki,30,YKO,Fgn,,6,7,.462,2.85,3.57,15,,,0,0,0,88.1,78,35,28,6,24,0,58,4,1,0,370,1.155,7.9,0.6,2.4,5.9,2.42,player.fcgi?id=onuki-000shi
25,Daichi Ohsera,33,HIR,Fgn,,6,6,.500,1.86,2.15,25,,,2,1,0,155.0,118,37,32,5,49,3,98,3,0,0,627,1.077,6.9,0.3,2.8,5.7,2.00,player.fcgi?id=osera-001dai
26,Takahiro Matsuba*,33,CNI,Fgn,,5,6,.455,3.09,3.18,17,,,2,0,0,93.1,85,33,32,8,24,0,50,2,0,2,381,1.168,8.2,0.8,2.3,4.8,2.08,player.fcgi?id=matsub000tak
27,Shinnosuke Ogasawara*,26,CNI,Fgn,,5,11,.313,3.12,3.68,24,,,0,0,0,144.1,151,59,50,9,22,2,82,4,0,2,602,1.199,9.4,0.6,1.4,5.1,3.73,player.fcgi?id=ogasaw000shi
28,Rowan Wick,31,YKO,Fgn,,5,1,.833,2.60,3.20,43,,,0,0,1,45.0,36,16,13,3,20,1,50,1,0,3,193,1.244,7.2,0.6,4.0,10.0,2.50,player.fcgi?id=wick--001row
29,Miguel Yajure,26,YKU,Fgn,,5,10,.333,3.34,3.48,23,,,1,1,0,129.1,130,50,48,8,43,7,84,5,1,5,550,1.338,9.0,0.6,3.0,5.8,1.95,player.fcgi?id=yajure000mig
30,Hiromasa Funabasama,27,YOM,Fgn,,4,0,1.000,2.37,2.84,51,,,0,0,0,38.0,28,12,10,4,8,2,23,3,0,0,150,0.947,6.6,0.9,1.9,5.4,2.88,player.fcgi?id=funaba000hir
31,Yutaro Ishida,22,YKO,Fgn,,4,3,.571,3.97,4.12,12,,,1,1,0,59.0,76,27,26,4,12,1,39,0,0,1,260,1.492,11.6,0.6,1.8,5.9,3.25,player.fcgi?id=ishida000yut
32,Daichi Ishii,26,HAN,Fgn,,4,1,.800,1.48,2.22,56,,,0,0,1,48.2,34,12,8,0,14,4,58,0,0,5,189,0.986,6.3,0.0,2.6,10.7,4.14,player.fcgi?id=ishii-000dai
33,Masashi Itoh*,28,HAN,Fgn,,4,5,.444,4.62,5.59,18,,,1,0,0,74.0,90,46,38,5,16,0,33,2,0,1,323,1.432,10.9,0.6,1.9,4.0,2.06,player.fcgi?id=itoh--001mas
34,Suguru Iwazaki*,33,HAN,Fgn,,4,4,.500,2.20,2.20,60,,,0,0,23,57.1,48,14,14,3,15,1,46,0,0,1,231,1.099,7.5,0.5,2.4,7.2,3.07,player.fcgi?id=iwazak000sug
