Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Kohei Arihara,31,FKA,Fgn,,14,7,.667,2.36,2.76,26,,,3,2,0,182.2,142,56,48,12,37,0,137,8,0,1,718,0.980,7.0,0.6,1.8,6.8,3.70,player.fcgi?id=arihar000koh
2,Hiromi Itoh,26,NPN,Fgn,,14,5,.737,2.65,3.06,26,,,5,4,0,176.1,150,60,52,14,39,0,161,3,0,1,710,1.072,7.7,0.7,2.0,8.2,4.13,player.fcgi?id=itoh--002hir
3,Kazuya Ojima*,27,LOT,Fgn,,12,10,.545,3.58,3.75,25,,,5,1,0,163.1,157,68,65,15,36,0,132,7,0,5,671,1.182,8.7,0.8,2.0,7.3,3.67,player.fcgi?id=ojima-000kaz
4,Masaru Fujii*,27,TOH,Fgn,,11,5,.688,2.93,3.21,22,,,0,0,0,126.0,138,45,41,8,29,0,74,7,0,3,529,1.325,9.9,0.6,2.1,5.3,2.55,player.fcgi?id=fujii-003mas
5,Takahisa Hayakawa*,25,TOH,Fgn,,11,6,.647,2.54,2.85,25,,,2,1,0,170.1,156,54,48,10,35,1,160,3,0,4,690,1.121,8.2,0.5,1.8,8.5,4.57,player.fcgi?id=hayaka000tak
6,Liván Moinelo*,28,FKA,Fgn,,11,5,.688,1.88,2.15,25,,,2,0,0,163.0,107,39,34,11,47,1,155,5,0,3,636,0.945,5.9,0.6,2.6,8.6,3.30,player.fcgi?id=moinel000liv
7,Tatsuya Imai,26,SEI,Fgn,,10,8,.556,2.34,2.70,25,,,2,1,0,173.1,132,52,45,8,70,2,187,5,0,8,712,1.165,6.9,0.4,3.6,9.7,2.67,player.fcgi?id=imai--000tat
8,Takayuki Katoh*,32,NPN,Fgn,,10,9,.526,2.70,2.97,27,,,3,2,0,166.2,174,55,50,15,17,0,103,1,0,2,672,1.146,9.4,0.8,0.9,5.6,6.06,player.fcgi?id=kato--007tak
9,Roki Sasaki,22,LOT,Fgn,,10,5,.667,2.35,2.76,18,,,1,0,0,111.0,83,34,29,2,32,1,129,8,0,9,450,1.036,6.7,0.2,2.6,10.5,4.03,player.fcgi?id=sasaki000rok
10,Natsuki Takeuchi*,22,SEI,Fgn,,10,6,.625,2.17,2.42,21,,,1,1,0,145.1,120,39,35,6,22,0,107,3,2,2,568,0.977,7.4,0.4,1.4,6.6,4.86,player.fcgi?id=takeuc000nat
11,Sachiya Yamasaki*,31,NPN,Fgn,,10,6,.625,3.17,3.47,24,,,2,0,0,147.2,142,57,52,17,28,1,74,4,0,3,600,1.151,8.7,1.0,1.7,4.5,2.64,player.fcgi?id=yamasa000sac
12,Yuji Nishino,33,LOT,Fgn,,9,8,.529,3.24,3.38,20,,,1,0,0,122.1,120,46,44,8,31,1,77,4,0,1,510,1.234,8.8,0.6,2.3,5.7,2.48,player.fcgi?id=nishin000yuj
13,Carter Stewart,24,FKA,Fgn,,9,4,.692,1.95,2.18,20,,,0,0,0,120.0,79,29,26,6,51,0,105,5,0,2,485,1.083,5.9,0.5,3.8,7.9,2.06,player.fcgi?id=stewar004car
14,Chihiro Sumida*,24,SEI,Fgn,,9,10,.474,2.76,2.81,26,,,2,1,0,179.1,161,56,55,11,35,1,154,3,0,5,719,1.093,8.1,0.6,1.8,7.7,4.40,player.fcgi?id=sumida000chi
15,Tomohisa Ohzeki*,26,FKA,Fgn,,8,4,.667,2.50,2.50,20,,,0,0,0,122.1,84,34,34,10,29,0,77,10,0,0,481,0.924,6.2,0.7,2.1,5.7,2.66,player.fcgi?id=ohzeki000tom
16,Anderson Espinoza,26,ORX,Fgn,,7,9,.438,2.63,2.90,22,,,1,0,0,133.2,122,43,39,2,48,0,113,6,0,1,550,1.272,8.2,0.1,3.2,7.6,2.35,player.fcgi?id=espino005and
